bi_gram,freq,example
ক্কা,3,"['ধাক্কা', 'তোয়াক্কা', 'টেক্কা']"
ক্কে,1,['আক্কেল']
ক্তা,3,"['ডাক্তার', 'মুক্তাগাছার', 'রক্তাক্ত']"
ক্তি,14,"['ব্যক্তিগত', 'মুক্তি', 'শক্তি', 'মুক্তির', 'শক্তিবর্ধনীয়', 'শক্তিশালী', 'ব্যক্তিত্ব', 'ব্যাক্তি', 'মুক্তিযোদ্ধারা', 'স্বরূপশক্তি', 'ব্যক্তিকেই', 'ব্যঙ্গ্যোক্তির', 'নৈর্ব্যক্তিক', 'আসক্তি']"
ক্মি,1,['রুক্মিণী']
ক্যা,4,"['ক্যান্টিনের', 'ক্যাডারশিপ', 'ক্যান্টিনে', 'ক্যান্সেল']"
ক্যে,1,['নীতিবাক্যে']
ক্রা,2,"['চক্রাকারে', 'আক্রান্ত']"
ক্রি,5,"['স্ক্রিনে', 'ক্রিকেটার', 'ক্রিকেটে', 'প্রতিক্রিয়া', 'নিষ্ক্রিয়', 'বিক্রি', 'প্রোতিক্ক্রিয়া', 'ক্রিয়া']"
ক্রে,4,"['সেক্রেটারির', 'ক্রেতার', 'ক্রেতাকে', 'বিক্রেতাকে']"
ক্লা,8,"['ক্লাসে', 'ক্লাস', 'অক্লান্ত', 'ক্লান্তি', 'ক্লান্ত', 'ক্লাবটিতে', 'ক্লাবটির', 'ক্লাসের']"
ক্ষা,12,"['পরীক্ষা', 'অপেক্ষা', 'শিক্ষা', 'পরীক্ষার', 'আকাঙ্ক্ষা', 'শিক্ষাগুরু', 'রক্ষা', 'সাক্ষাৎকারটা', 'শিক্ষার', 'পরীক্ষাটা', 'সাক্ষাৎকার', 'রক্ষায়', 'পুনঃপরীক্ষা']"
ক্ষি,5,"['দক্ষিণ', 'শিক্ষিত', 'সংক্ষিপ্ত', 'উচ্চশিক্ষিত', 'দক্ষিন']"
ক্ষু,4,"['ক্ষুদ্র', 'ক্ষুদ্রাতিক্ষুদ্র', 'ক্ষুধার']"
ক্ষে,14,"['পদক্ষেপ', 'ক্ষেত', 'ক্ষেতের', 'আক্ষেপ', 'উপলক্ষে', 'পিতৃপক্ষের', 'দেবীপক্ষের', 'এক্ষেত্রে', 'ক্ষেতে', 'ধানক্ষেতের', 'সেক্ষেত্রে', 'প্রকৃতপক্ষে', 'বিপক্ষে', 'সারসংক্ষেপ']"
ক্ষো,1,['বিক্ষোভ']
ক্সা,2,"['এক্সারসাইজ', 'রিক্সায়']"
ক্সি,2,"['এক্সিডেন্ট', 'ট্যাক্সি']"
ক্সে,2,"['রিলাক্সেশনের', 'বক্সে']"
খ্যা,3,"['ব্যাখ্যা', 'সংখ্যা', 'খ্যাতনামা']"
খ্যে,1,['আদিখ্যেতা']
খ্রি,1,['খ্রিস্টান']
গ্না,1,['ভগ্নাংশ']
গ্নি,1,['জমদগ্নি']
গ্নে,2,"['আগ্নেয়', 'আগ্নেয়াস্ত্র']"
গ্বি,1,['দিগ্বিজয়']
গ্বে,1,['ঋগ্বেদ']
গ্মি,1,['বাগ্মিতার']
