bi_gram,freq,example
কা,327,"['কাছে', 'কাজ', 'একাই', 'সকালে', 'কারণ']"
কি,183,"['কিন্তু', 'কিছু', 'কি', 'নাকি', 'তাকিয়ে']"
কী,82,"['কী', 'কীভাবে', 'কীসে', 'সংকীর্ণতাকে', 'কীসব']"
কু,45,"['থাকুন', 'ডাকুন', 'একুশে', 'লড়াকু', 'পুকুর']"
কূ,7,"['কূপই', 'উপকূলবাসী', 'উপকূলীয়', 'উপকূলবাসীর', 'অনুকূলেই']"
কৃ,12,"['প্রকৃত', 'প্রকৃতির', 'স্বীকৃতি', 'প্রকৃষ্ঠ', 'কৃতজ্ঞ']"
কে,490,"['থেকে', 'তাকে', 'আমাকে', 'থাকে', 'ওকে']"
কৈ,1,['কৈশোর']
কো,105,"['কোনো', 'কোথাও', 'কোথায়', 'কোটি', 'কোন']"
খা,144,"['খারাপ', 'দেখান', 'দেখা', 'এখানে', 'খালি']"
খি,37,"['দেখি', 'পাখি', 'খিচুড়ি', 'দেখিনি', 'লিখিত']"
খী,2,"['নিম্নমুখী', 'ঊর্ধ্বমুখী']"
খু,69,"['খুব', 'লিখুন', 'খুবই', 'খুলে', 'দেখুন']"
খে,113,"['দেখে', 'মুখে', 'খেয়ে', 'খেতে', 'চোখে']"
খো,19,"['খোলা', 'খোঁজ', 'খোল', 'সুদখোর', 'রেখো']"
গা,110,"['গাড়ি', 'গাছ', 'গাছের', 'গা', 'জায়গা']"
গি,40,"['গিয়ে', 'গিয়েছিলাম', 'এগিয়ে', 'রাগারাগি', 'লাগিয়ে']"
গী,9,"['রাগী', 'রোগীকে', 'রোগীর']"
গু,84,"['এগুলো', 'গুছিয়ে', 'সেগুলো', 'কথাগুলো', 'মানুষগুলোকে']"
গৃ,3,"['গৃহিণী', 'অর্থগৃধ্নু', 'জন্মগৃহবাসের']"
গে,140,"['গেল', 'গেছে', 'আগে', 'গেলে', 'গেলাম']"
গো,13,"['গোঁ', 'গোছাতে', 'এগোতেই', 'এগোতে', 'গোলা']"
গৌ,2,['সগৌরবে']
ঘা,14,"['ঘাটতি', 'ঘাবড়ে', 'ঘাপটি', 'বিশ্বাসঘাতকতা', 'রাস্তাঘাট']"
ঘি,5,"['ঘি', 'ঘিরে', 'ঘিরেই', 'নিমঘি']"
ঘু,36,"['ঘুম', 'ঘুমিয়ে', 'ঘুরে', 'ঘুরতে', 'ঘুরিয়ে']"
ঘূ,1,['ঘূর্ণিঝড়ের']
ঘে,5,"['মেঘে', 'ঘেরে', 'ঘেঁষে']"
ঘো,6,"['ঘোর', 'ঘোষণা', 'ঘোরে', 'ঘোরান']"
ঙা,2,"['বাঙালিদের', 'প্রাণরাঙা']"
ঙে,13,"['ভেঙে', 'রঙের', 'ভাঙেনি']"
চা,123,"['চাচা', 'চা', 'চাই', 'চাকরি', 'চায়']"
চি,38,"['উচিত', 'চিন্তা', 'চিৎকার', 'চিবোতে', 'লুচিগুলো']"
চী,7,"['প্রাচীন', 'চীনেই', 'চীনে', 'চীনের']"
চু,13,"['নিচু', 'খিচুড়ি', 'চুপ', 'উঁচু', 'সিচুয়েশন']"
চূ,1,['চূড়ায়']
চে,62,"['চেষ্টা', 'সবচেয়ে', 'চেয়ে', 'বেঁচে', 'নিচে']"
চৈ,1,['হৈচৈ']
চো,22,"['চোখ', 'চোখে', 'চোখের', 'চোর', 'চোরের']"
চৌ,2,"['চৌকশ', 'চৌধুরী']"
ছা,59,"['বিছানায়', 'পৌঁছাতে', 'ছাড়া', 'ছাদে', 'পৌঁছায়']"
ছি,151,"['ছিল', 'বলছি', 'ছিলাম', 'গুছিয়ে', 'হয়েছিল']"
ছু,64,"['কিছু', 'কিছুই', 'কিছুক্ষণ', 'এতকিছু', 'সবকিছু']"
ছে,258,"['আছে', 'কাছে', 'হয়েছে', 'গেছে', 'করেছে']"
ছো,33,"['ছোট', 'ছোটো', 'ছোট্ট', 'করেছো', 'করছো']"
জা,153,"['হাজার', 'জানান', 'বাজারে', 'জানে', 'রেজাল্ট']"
জি,32,"['জিজ্ঞেস', 'কেজি', 'জি', 'সবজি', 'জিনিস']"
জী,27,"['জীবনের', 'জীবন', 'জীবনে', 'জীবিকা', 'আজীবনকাল']"
জু,9,"['জুড়ে', 'মজুদ', 'অজুহাত', 'জুতাটা', 'জুগিয়েছিল']"
জে,66,"['নিজের', 'নিজেকে', 'নিজেদের', 'জেলেদের', 'ভিজে']"
জো,5,"['জোতদারদের', 'জোটে', 'জোড়া', 'জোর', 'ভিজো']"
ঝা,16,"['বোঝায়', 'বোঝালো', 'বোঝার', 'বোঝাতে', 'ঝাপটায়']"
ঝি,4,"['বুঝি', 'বুঝিনি']"
ঝু,3,"['ঝুকে', 'ঝুম']"
ঝে,17,"['মাঝে', 'বুঝে', 'মাঝেই', 'বুঝেছি', 'বুঝেছে']"
টা,244,"['একটা', 'সেটা', 'এটা', 'মনটা', 'টাকা']"
টি,68,"['একটি', 'কোটি', 'টিম', 'ছুটি', 'প্রতিটি']"
টু,24,"['একটু', 'আরেকটু', 'সবটুকু', 'এটুকু', 'কতটুকু']"
টে,46,"['কেটে', 'সিটে', 'খেটে', 'স্পটে', 'টেনশনে']"
টো,5,"['দুটো', 'ছোটো']"
ঠা,26,"['হঠাৎ', 'ঠান্ডা', 'পাঠাবেন', 'ওঠা', 'পাঠাতে']"
ঠি,20,"['ঠিক', 'কঠিন', 'পাঠিয়েছেন', 'ঠিকই', 'ঠিকমতো']"
ঠু,1,['উঠুন']
ঠে,33,"['উঠে', 'ওঠে', 'মাঠে', 'ঠেকে', 'মাঠের']"
ঠো,7,"['কঠোর', 'উঠোনে', 'মুঠোর', 'ঠোঁটে', 'দুমুঠো']"
ডা,29,"['ডাকতে', 'ডাকুন', 'ডাক', 'ডাল', 'ডাকাডাকিতে']"
ডি,12,"['মিডিয়া', 'ডিন', 'মেডিকেলের', 'ডিভানে', 'ডিসেম্বর']"
ডু,1,['ডুবে']
