n_gram,freq
াঁড়,11
াঁচ,12
েঁচ,1
ৌঁছ,5
াঁধ,6
াঁট,5
াঁদ,2
োঁজ,3
েঁধ,1
েঁক,1
ুঁজ,2
িঁদ,1
োঁশ,1
াঁপ,2
েঁদ,2
ুঁক,1
াঁত,8
াঁই,1
েঁট,1
ুঁড়,2
উঁচ,1
ুঁচ,1
ুঁয়,1
িঁথ,1
পঁয়,1
োঁট,1
পঁচ,1
াঁক,2
উঁক,1
িঁয়,2
আঁধ,1
ুঁত,1
াঁঝ,1
েঁষ,1
আঁক,1
াঁজ,1
াঁয়,1
াংল,4
বংশ,4
সংস,3
াংশ,3
অংশ,2
রংপ,2
সংখ্য,2
িংস,2
েংচ,1
সংক্ষ,2
িংড়,1
সংস্থ,1
য়ংক,1
িংহ,1
সংক,3
শংক,3
াংচ,2
সংব,3
াংক,1
শংস,2
িংয়,2
সংগ্র,3
সংয,2
সংস্ক,1
াংখ্য,1
াংস,1
ইংর,1
সংগ,1
হংক,1
ুঃশ্চ,1
ুঃখ,2
ুঃস্ব,1
িঃশ্ব,1
িঃশ,1
িঃস্ব,1
তঃপ,1
নঃপ,2
তঃস্ফ,1
নঃপ্র,3
দঅভ্য,1
িআর,2
লআউ,1
াইর,5
াইয়,5
াইক,3
রইল,1
াইহ,1
এইস,1
াইভ,4
াইল,8
াইন,7
বইছ,1
াইত,2
াইফ,1
এইব,1
এইখ,2
াইব,1
াইজ,1
থইথ,1
াইম,3
হইন,1
আইল,1
ুইব,1
এইট,1
েইজ,2
াইস,1
ুইয়,1
ুইট,1
ুইচ,2
াইছ,1
ুইজ,1
উইক,1
েইল,2
রইয়,1
আইন,3
বইয়,1
এইয,1
িউজ,1
বউয়,1
বউক,1
াউক,1
েউই,1
িউট,1
মউদ্দ,1
েউক,1
েউয়,1
বউম,1
াউন,1
িউর,1
াউম,1
বউও,1
আউট,1
িউট্র,1
িএস,1
তএব,1
“এত,1
াওয়,14
েওয়,6
হওয়,2
আওয়,2
িওগ,2
আওড়,1
চওড়,1
বওহ,2
েকে,11
একট,4
াকে,32
াকি,6
ওকে,2
াকব,4
জকে,1
িকে,21
াকত,3
একা,5
একজ,1
সকা,4
ইকে,3
আকা,5
ুকে,12
াকা,20
ীকা,2
ৌকা,5
াকর,4
একদ,4
ুক্ষণ,2
নকে,4
াকল,5
দক্ষে,1
ীক্ষা,4
ষকে,3
উকে,3
াকু,6
ীকে,6
একস,2
ুকি,2
েক্ষা,1
তকি,1
েকট,4
পকে,1
দক্ষি,2
রকা,7
িকা,13
বকি,1
একু,2
োকে,5
ুক্তি,3
সকল,1
ঁকে,1
লকন,1
টকা,2
ভক্তক,1
একগ,1
ৎকা,5
রকম,1
হকা,3
েকজ,1
নকা,5
িকশ,1
িকই,1
েকস,1
মকে,1
িক্ষি,2
ীকত,1
রকে,11
শকা,1
ুকন,2
লকা,2
িক্ষা,3
একব,2
ুকু,9
ুকট,1
মকর,1
শক্তি,4
োকন,1
াকো,1
বকে,2
াক্কা,2
িকত,4
াক্তা,1
আক্কে,1
নক্ষত্র,2
ঐক্যম,2
অক্লা,1
এক্সা,1
টকে,1
িকম,2
ঁকড়,1
িকর্ত,2
োকা,4
োকি,3
িক্ষু,1
রক্তব,1
তক্ষণ,3
ভক্তদ,1
শকে,2
ংক্ষি,1
একে,4
চকে,1
চকা,1
বকা,1
এক্সি,1
আক্ষে,1
ুকর,1
তকত,1
ুক্তা,1
িকি,2
ংকর,2
আকু,1
লক্ষে,1
রক্ষা,2
াক্ষা,2
জকা,1
রক্তই,1
েক্রে,1
ুকত,1
েকি,2
ংকী,1
পক্ষে,4
ীকৃ,2
এক্ষে,1
াক্সে,1
খকে,1
িকট,3
পক্ষপ,1
পকূ,4
েকো,1
ৈকত,1
েক্ষভ,1
নকি,1
একম,1
ৌকশ,1
য়ক্ষম,1
েকব,2
ুকূ,1
ংকা,3
দক্ষত,1
মকা,2
পকর,1
েকক,1
ককে,2
তকো,1
ুক্রব,1
ৌকে,1
ংকে,1
ঁকজ,1
েকা,1
লকড,1
তকা,2
ঁকি,1
রক্তা,1
ংকট,1
একপ,1
ুকা,2
িকর,2
নক্ষে,1
েকদ,1
েক্ষে,1
লকে,4
োকক,1
াক্তি,1
াকছ,1
এক্সপ্র,1
থকে,1
লকু,2
একত্র,1
ঁকা,1
াক্যে,1
িক্সা,1
োকট,1
বক্সে,1
িক্রি,2
অক্ষত,1
িক্রে,1
িক্রয়,1
এক্সপ,1
চক্রা,1
াক্যগ,1
ূক্ষ্মভ,1
অক্ষর,1
াক্ষর,1
ঁকু,1
াক্পট,1
অকৃ,1
িক্ষো,1
াকস,1
একল,1
একই,1
েক্ট্রন,1
ূক্ষ্মত,2
অকা,3
পক্বত,1
ঐকা,3
তকট,1
োক্তি,1
ৎকৃ,1
াক্ষ্যি,1
ংক্ষে,1
েকু,1
াকট,1
য়কে,1
ৎকর্ষ্য,1
ৈকট্য,1
লক্ষণ,1
েক্ট্রর,1
ংকল,1
াক্সি,1
লক্ষ্মী,1
তকে,1
চক্রব,1
ঐকক,1
ককো,1
সক্তি,1
েক্কা,1
আক্রা,1
নকো,2
চকি,1
পক্ষয়,1
িক্ক্রি,1
িক্ষণ,1
একপ্র,1
ুক্মি,1
ইক্ষ্বা,1
অকি,1
অকল্ম,1
এখন,4
তখন,4
েখি,6
েখে,12
যখন,1
েখত,1
ুখে,4
েখল,5
কখন,4
েখা,26
এখা,3
িখু,2
োখে,2
াখা,5
েখু,1
াখি,6
াখু,2
াখে,3
াখ্যা,1
ংখ্যা,1
াখত,2
িখি,1
ইখা,2
িখে,2
েখব,3
ুখও,1
জখা,1
ঃখে,1
দখো,1
আখে,1
েখছ,2
িখা,1
েখো,3
ুখো,1
ুখি,1
ূখক,1
শখা,1
িখো,1
ুখট,1
েখভ,1
ঝখা,1
িখ্যে,1
ুখী,2
অখণ্ড,1
ৎখা,1
ূখর,1
এখু,1
িখত,1
অখা,1
আগে,5
এগু,2
াগে,4
াগছ,2
য়গা,2
েগু,5
আগা,2
েগে,4
াগু,6
াগা,11
াগী,1
োগী,2
িগত,1
াগর,4
ষগু,3
সগৌ,1
াগ্যব,1
কগা,1
াগল,4
ুগত,1
নগণ,1
োগদ,1
াগব,1
োগ্যত,1
ুগে,1
আগু,1
িগু,8
োগে,5
এগি,1
ছগু,1
িগা,1
াগি,2
াগদ,1
ওগু,3
াগত,1
িগ্রস্ত,1
নগু,1
ড়গড়,1
ৃগা,1
তগু,1
োগা,2
জগু,1
মগম,1
এগো,3
লগু,4
আগস্ট,1
াগ্রা,1
ণগু,1
ুগি,1
অগ্রী,1
হগন,1
াগ্রস্ত,1
াগ্রহ,1
িগল,1
াগ্যে,1
াগজ,3
অগত্য,1
ংগ্রহ,2
ংগ্রা,1
াগপ,1
ুগন্ধ,1
াগও,1
সগু,1
ভগ্না,1
রগু,1
ুগ্ধত,1
াগ্মি,1
ভগব,2
মগ্রী,1
জগত,1
অগ্ন্যু,2
আগ্নে,2
ঋগ্বে,1
অগ্রস,1
িগ্বি,1
দগ্নি,1
ংগঠ,1
অগস্ত্য,1
েঘে,1
াঘ্রা,1
সঘা,1
েঘল,1
াঘা,3
াঘু,1
িঘড়,1
তঘড়,1
তঘ্নত,1
েঘম,1
মঘি,1
অঘা,1
েঙে,1
রঙে,1
াঙ্গল,1
াঙল,1
েঙ্গে,1
াঙ্ক্ষা,1
সঙ্গে,2
শঙ্কা,2
াঙে,1
বঙ্গে,1
য়ঙ্কর,1
িঙ্গা,1
াঙা,2
শঙ্কি,1
াঙ্কন,1
ৃঙ্খল,1
াঙ্ক্তে,1
লঙ্ঘন,2
রঙ্গে,1
াঙ্ক্ষণ,1
হঙ্গক,1
তঙ্কি,1
জঙ্গল,1
াঙ্গী,1
াঙ্গে,1
অঙ্ঘ্রি,1
াঙ্ময়,1
াঙ্মু,1
াচ্ছে,4
াচা,5
হচ্ছে,1
বচে,1
হচ্ছি,1
ঁচে,1
িচে,1
ইচ্ছা,3
াচী,1
উচি,1
াচল,1
াচ্ছি,7
িচু,3
িচ্ছি,3
উচ্চা,1
লচে,1
ঁচা,7
াচন,1
েচ্ছা,2
িচ্ছে,2
াচে,3
ুচি,2
মচ্চা,1
িচল,1
ংচি,3
িচি,4
অচি,1
মচক,1
ুচক,1
ঁচু,1
েচা,1
াচ্চা,4
আচ্ছা,1
োচ্ছ্বা,2
পচা,2
ঁচট,2
ঁচি,2
পচয়,1
ঁচত,1
েচন,1
উচ্চশ,1
ূচক,1
ইচট,1
িচর্ম,1
সচে,1
েচল্ল,1
োচন,2
ইচড,1
েচে,1
ইচ্ছে,1
আচ্ছন্ন,2
উচ্ছন্ন,1
াচড়,1
ুচ্ছ্রি,1
নচ্যু,1
ৈচি,1
আচর,1
ঐচ্ছি,1
ৈচৈ,1
রচন,1
রচন্দ্র,1
সচক,1
াচ্ঞা,1
আছে,3
িছু,13
াছে,5
েছে,41
লছি,2
পছন্দ,1
বছর,2
গছে,1
ুছি,1
িছা,3
ঁছা,4
েছি,38
লছে,2
িছন,1
ঁছে,1
রছি,6
রছে,5
আছি,1
আছা,1
ইছে,2
ুছে,1
এছা,1
াছা,3
াছি,1
নছি,2
সছি,1
েছো,2
সছে,1
াছগ,1
িছল,1
ড়ছে,3
াছই,1
োছা,1
খছি,2
বছি,2
গছি,1
রছো,1
ঠছে,1
মছা,1
নছে,1
আছো,1
াছভ,1
াছো,1
লছো,1
কছে,1
বছা,1
াছড়,1
বছে,1
ঠছি,1
মছে,1
াছট,1
িজে,8
াজা,9
আজক,2
কজন,2
েজা,3
রজা,5
মজা,2
িজ্ঞে,1
বজা,1
েজি,2
মজব,1
বজি,2
অজা,2
াজে,8
ঁজে,2
ুজন,2
েজন্য,1
এজন্য,1
োজন,5
াজন,4
মজু,2
অজু,1
েজন,1
িজ্ঞত,3
াজট,1
আজই,1
াজ্যে,1
অজ্ঞা,1
বজ্ঞা,1
োজে,1
েজে,3
োজা,1
হজে,1
িজত,1
াজখ,1
িজি,1
হজম,1
নজর,3
িজা,1
নজি,3
াজি,7
াজই,3
লজ্বল,1
াজগ,1
আজী,1
ূজা,1
আজা,1
ইজে,1
ওজন,1
পজে,1
কজম,1
ঁজত,1
ফজর,1
ইজন,1
আজও,1
গজে,2
নজন,1
গজট,1
িজ্ঞা,4
িজো,1
বজ্রপ,1
ঁজদ,1
উজ্জী,1
িজব,1
উজ্জ্বল,2
রজগ,1
রজত,1
ুজ্ঝট,1
িজয়,2
অজী,1
শজা,1
অজন্ম,1
াজ্ঞব,1
াঝে,2
োঝা,5
ুঝল,5
ুঝে,3
ুঝি,2
ুঝত,1
ুঝব,1
িঝড়,1
াঝব,1
াঝখ,1
ঁঝা,1
পঞ্চা,2
েঞ্জা,2
অঞ্চল,2
াঞ্চল,1
াঞ্জা,2
বঞ্চি,2
ইঞ্জি,1
পঞ্চম,1
মঞ্চে,1
াঞ্চক,1
বঞ্চন,1
সঞ্চা,1
াঞ্ছন,1
াঞ্ছা,1
ঝঞ্ঝন,1
কটা,9
কটু,2
কটি,2
েটা,10
এটা,3
নটা,7
েটে,9
োটি,3
ঁটত,1
িটে,5
াটা,27
তটা,3
িটা,14
ুটো,1
ঘটন,1
রটা,12
ুটি,7
আটক,2
াটত,2
িটি,3
াটি,6
ণটা,1
োটর,1
োটো,1
সটা,1
মটা,2
জটা,2
নটি,1
উটা,1
লটা,1
শটা,3
োটা,6
পটি,1
বটু,1
এটু,1
ষটা,1
জটি,1
িটম,1
বটব,1
তটু,1
ঁটে,2
য়টা,4
াটপ,2
ঁটা,1
নটন,1
াটব,1
োটে,3
চটা,3
কটক,1
ঘটব,1
াটে,2
ঁটি,2
ঘটা,2
ইটা,1
াটু,2
োটক,1
ুটল,1
পটা,1
াটল,1
য়টু,1
রটি,1
খটা,1
বটে,2
লটি,1
ঘটল,1
বটি,2
িটব,1
ুটব,1
হট্টগ,1
োটন,2
উট্রন,1
খট্বা,1
ুট্মল,1
েটি,1
াটন,1
ছটি,1
কট্যধ্ব,1
য়টি,1
াট্টা,1
উঠে,2
হঠা,1
উঠল,3
উঠত,1
ওঠে,1
াঠে,3
কঠি,1
াঠি,1
কঠো,1
উঠো,1
ুঠো,2
াঠা,3
উঠব,2
িঠি,2
ওঠা,2
উঠছ,2
োঠর,1
উঠা,2
উঠু,1
গঠন,3
গঠি,1
মঠে,1
িডি,3
াডা,2
পডে,1
িডে,2
িডর,1
েডি,2
ুডে,1
েডো,1
কডা,1
িডো,1
েডশ,1
বডি,1
বড্যা,1
রণা,4
