tri_gram,freq,example
াঁড়,11,"['দাঁড়ায়', 'দাঁড়িয়েছে', 'দাঁড়িও']"
াঁচ,12,"['বাঁচিয়ে', 'খাঁচা', 'বাঁচাবে']"
েঁচ,1,['বেঁচে']
ৌঁছ,5,"['পৌঁছানোর', 'পৌঁছায়', 'পৌঁছাতেই']"
াঁধ,6,"['বাঁধুন', 'বাঁধের', 'কাঁধে']"
াঁট,5,"['হাঁটতে', 'হাঁট', 'খাঁটি']"
াঁদ,2,"['কাঁদে', 'তাঁদের']"
োঁজ,3,"['খোঁজে', 'নিখোঁজ', 'খোঁজ']"
েঁধ,1,['বেঁধে']
েঁক,1,['সেঁকে']
ুঁজ,2,"['খুঁজতে', 'খুঁজে']"
িঁদ,1,['সিঁদূর']
োঁশ,1,['ফোঁশকা']
াঁপ,2,"['ফাঁপা', 'কাঁপা']"
েঁদ,2,"['কেঁদেছিলাম', 'কেঁদে']"
ুঁক,1,['কুঁকড়ে']
াঁত,8,"['সাঁতরে', 'গ্যাঁজদাঁতে', 'সাঁতার']"
াঁই,1,['বাজখাঁই']
েঁট,1,['হেঁটে']
ুঁড়,2,"['কুঁড়ি', 'খুঁড়িয়ে']"
উঁচ,1,['উঁচু']
ুঁচ,1,['সুঁচ']
ুঁয়,1,['ছুঁয়েছে']
িঁথ,1,['সিঁথিতে']
পঁয়,1,['পঁয়ত্রিশ']
োঁট,1,['ঠোঁটে']
পঁচ,1,['পঁচিশখানা']
াঁক,2,"['জাঁকজমক', 'ফাঁকা']"
উঁক,1,['উঁকি']
িঁয়,2,"['পিঁয়াজ', 'পিঁয়াজের']"
আঁধ,1,['আঁধারিতে']
ুঁত,1,['নিখুঁত']
াঁঝ,1,['ঝাঁঝালো']
েঁষ,1,['ঘেঁষে']
আঁক,1,['আঁকুন']
াঁজ,1,['গ্যাঁজদাঁতে']
াঁয়,1,['গাঁয়ে']
াংল,4,"['বাংলা', 'বাংলায়', 'বাংলাদেশ']"
বংশ,4,"['বংশধর', 'বংশপরম্পরায়', 'বংশরর']"
সংস,3,"['সংস্থাপন', 'সংসার', 'সংসারের']"
াংশ,3,"['মাংশ', 'শতাংশ', 'ভগ্নাংশ']"
অংশ,2,"['অংশ', 'অংশে']"
রংপ,2,"['রংপুরের', 'রংপুরে']"
সংখ্য,2,"['সংখ্যা', 'অসংখ্য']"
িংস,2,"['ইনিংস', 'ইনিংসটাই']"
েংচ,1,['ভেংচি']
সংক্ষ,2,"['সারসংক্ষেপ', 'সংক্ষিপ্ত']"
িংড়,1,['চিংড়ি']
সংস্থ,1,['সংস্থাপন']
য়ংক,1,['ভয়ংকর']
িংহ,1,['সিংহ']
সংক,3,"['সারসংক্ষেপ', 'সংকলিত', 'সংকট']"
শংক,3,"['আশংকা', 'আশংকায়', 'তারাশংকর']"
াংচ,2,"['গাংচিলের', 'গাংচিল']"
সংব,3,"['সংবাদপত্রে', 'সংবর্ধনা', 'সংবাদ']"
াংক,1,['ব্যাংকে']
শংস,2,"['প্রশংসা', 'প্রশংসায়']"
িংয়,2,"['ট্রেকিংয়ের', 'ব্যাটিংয়েও']"
সংগ্র,3,"['সংগ্রহে', 'সংগ্রহ', 'সংগ্রাম']"
সংয,2,"['সংযুক্ত', 'সংযোজন']"
সংস্ক,1,['কুসংস্কার']
াংখ্য,1,['সাংখ্য']
াংস,1,['মীমাংসা']
ইংর,1,['ইংরেজিতে']
সংগ,1,"['সংগঠনের', 'সংগ্রহে', 'সংগ্রহ']"
হংক,1,['সাহংকারের']
ুঃশ্চ,1,['দুঃশ্চিন্তা']
ুঃখ,2,"['দুঃখে', 'দুঃখ']"
ুঃস্ব,1,['দুঃস্বপ্ন']
িঃশ্ব,1,['নিঃশ্বাস']
িঃশ,1,"['নিঃশ্বাস', 'নিঃশব্দে']"
িঃস্ব,1,['নিঃস্ব']
তঃপ,1,"['অন্তঃপুরে', 'অতঃপর']"
নঃপ,2,"['পুনঃপ্রবেশ', 'পুনঃপুন', 'পুনঃপরীক্ষা']"
তঃস্ফ,1,['স্বতঃস্ফূর্ত']
নঃপ্র,3,"['পুনঃপ্রবেশ', 'পুনঃপ্রতিষ্ঠা', 'পুনঃপ্রকাশ']"
দঅভ্য,1,['বদঅভ্যাস']
িআর,2,"['সিআর', 'সিআরকে']"
লআউ,1,['অলআউট']
াইর,5,"['করোনাভাইরাসের', 'ভাইরাল', 'বাইরে']"
াইয়,5,"['ভাইয়ের', 'লড়াইয়ের', 'সোনাইয়ের']"
াইক,3,"['স্ট্রাইক', 'সবাইকে', 'সাইকেলের']"
রইল,1,['রইলাম']
