word,ipa,cv,cv_2,freq
করে,k o . r e,cv.cv,cv.cv,127
আমার,a . m a r,v.cvc,v.cvc,123
তার,t̪ a r,cvc,cvc,122
এই,e i̯,vv,v,106
সে,ʃ e,cv,cv,91
আমি,a . m i,v.cv,v.cv,84
আর,a r,vc,vc,77
থেকে,t̪ʰ e . k e,cv.cv,cv.cv,72
কী,k i,cv,cv,67
হয়,h ɔ ʲ,cvc,cvc,65
হয়ে,h o . ʲ e,cv.cv,cv.cv,59
তো,t̪ o,cv,cv,59
জন্য,ɟ o n . n o,cvc.cv,cvc.cv,56
একটা,æ k . t a,vc.cv,vc.cv,55
কোনো,k o . n o,cv.cv,cv.cv,55
নিয়ে,n i . ʲ e,cv.cv,cv.cv,54
কথা,k ɔ . t̪ʰ a,cv.cv,cv.cv,50
তাদের,t̪ a . d̪ e r,cv.cvc,cv.cvc,47
দিয়ে,d̪ i . ʲ e,cv.cv,cv.cv,46
ও,o,v,v,45
যে,ɟ e,cv,cv,43
হলো,h o . l o,cv.cv,cv.cv,43
করুন,k o . r u n,cv.cvc,cv.cvc,43
তাকে,t̪ a . k e,cv.cv,cv.cv,40
বড়,b ɔ . ɽ o,cv.cv,cv.cv,39
হবে,h ɔ . b e,cv.cv,cv.cv,39
গেল,g æ . l o,cv.cv,cv.cv,37
এখন,æ . kʰ o n,v.cvc,v.cvc,37
তিনি,t̪ i . n i,cv.cv,cv.cv,37
নেই,n e i̯,cvv,cv,36
সাথে,ʃ a . t̪ʰ e,cv.cv,cv.cv,36
কিন্তু,k i n . t̪ u,cvc.cv,cvc.cv,35
করতে,k o r . t̪ e,cvc.cv,cvc.cv,34
অনেক,ɔ . n e k,v.cvc,v.cvc,34
যায়,ɟ a ʲ,cvc,cvc,33
আজ,a ɟ,vc,vc,32
আছে,a . cʰ e,v.cv,v.cv,32
তারা,t̪ a . r a,cv.cv,cv.cv,32
কিছু,k i . cʰ u,cv.cv,cv.cv,32
আমাকে,a . m a . k e,v.cv.cv,v.cv.cv,30
বলে,b o . l e,cv.cv,cv.cv,30
খুব,kʰ u b,cvc,cvc,29
ছিল,cʰ i . l o,cv.cv,cv.cv,29
মনে,m o . n e,cv.cv,cv.cv,29
গিয়ে,g i . ʲ e,cv.cv,cv.cv,28
যেন,ɟ e . n o,cv.cv,cv.cv,28
পর,p ɔ r,cvc,cvc,27
এমন,æ . m o n,v.cvc,v.cvc,27
তুমি,t̪ u . m i,cv.cv,cv.cv,27
আমাদের,a . m a . d̪ e r,v.cv.cvc,v.cv.cvc,27
মতো,m ɔ . t̪ o,cv.cv,cv.cv,27
সব,ʃ ɔ b,cvc,cvc,26
এত,æ . t̪ o,v.cv,v.cv,26
এক,æ k,vc,vc,25
দুই,d̪ u i̯,cvv,cv,25
আবার,a . b a r,v.cvc,v.cvc,24
দিন,d̪ i n,cvc,cvc,24
কাছে,k a . cʰ e,cv.cv,cv.cv,23
তখন,t̪ ɔ . kʰ o n,cv.cvc,cv.cvc,23
শুরু,ʃ u . r u,cv.cv,cv.cv,23
ছোট,cʰ o . t o,cv.cv,cv.cv,23
বা,b a,cv,cv,23
থাকে,t̪ʰ a . k e,cv.cv,cv.cv,22
চলে,c ɔ . l e,cv.cv,cv.cv,22
কি,k i,cv,cv,22
তোমার,t̪ o . m a r,cv.cvc,cv.cvc,22
মধ্যে,m o d̪ . d̪ʰ e,cvc.cv,cvc.cv,22
হয়েছে,h e . ʲ e . cʰ e,cv.cv.cv,cv.cv.cv,22
বসে,b ɔ . ʃ e,cv.cv,cv.cv,22
বাড়ি,b a . ɽ i,cv.cv,cv.cv,22
এসে,e . ʃ e,v.cv,v.cv,21
এসব,e . ʃ ɔ b,v.cvc,v.cvc,21
সময়,ʃ o . m ɔ ʲ,cv.cvc,cv.cvc,21
কাজ,k a ɟ,cvc,cvc,21
ভালো,bʰ a . l o,cv.cv,cv.cv,21
নয়,n ɔ ʲ,cvc,cvc,21
বের,b e r,cvc,cvc,21
বাড়ির,b a . ɽ i r,cv.cvc,cv.cvc,21
পারে,p a . r e,cv.cv,cv.cv,20
পড়ে,p ɔ . ɽ e,cv.cv,cv.cv,20
বাবা,b a . b a,cv.cv,cv.cv,20
বলতে,b o l . t̪ e,cvc.cv,cvc.cv,20
মানুষ,m a . n u ʃ,cv.cvc,cv.cvc,20
আপনার,a p . n a r,vc.cvc,vc.cvc,20
বাইরে,b a i̯ . r e,cvv.cv,cv.cv,20
গেছে,g æ . cʰ e,cv.cv,cv.cv,19
তাই,t̪ a i̯,cvv,cv,19
করা,k ɔ . r a,cv.cv,cv.cv,19
শেষ,ʃ e ʃ,cvc,cvc,19
যদি,ɟ o . d̪ i,cv.cv,cv.cv,19
তা,t̪ a,cv,cv,18
উপর,u . p o r,v.cvc,v.cvc,18
শুধু,ʃ u . d̪ʰ u,cv.cv,cv.cv,18
বাবার,b a . b a r,cv.cvc,cv.cvc,18
এর,e r,vc,vc,18
যাওয়ার,ɟ a o̯ . ʷ a r,cvv.cvc,cv.cvc,18
আগে,a . g e,v.cv,v.cv,17
দেখি,d̪ e . kʰ i,cv.cv,cv.cv,17
এবং,e . b o ŋ,v.cvc,v.cvc,17
নাকি,n a . k i,cv.cv,cv.cv,17
সেই,ʃ e i̯,cvv,cv,17
হতে,h o . t̪ e,cv.cv,cv.cv,17
যা,ɟ a,cv,cv,17
গাড়ি,g a . ɽ i,cv.cv,cv.cv,17
অন্য,o n . n o,vc.cv,vc.cv,16
দিতে,d̪ i . t̪ e,cv.cv,cv.cv,16
ওকে,o . k e,v.cv,v.cv,16
ভয়,bʰ ɔ ʲ,cvc,cvc,16
ধরে,d̪ʰ ɔ . r e,cv.cv,cv.cv,16
কেউ,k e u̯,cvv,cv,16
দেখে,d̪ e . kʰ e,cv.cv,cv.cv,15
উঠে,u . tʰ e,v.cv,v.cv,15
করলাম,k o r . l a m,cvc.cvc,cvc.cvc,15
নিজের,n i . ɟ e r,cv.cvc,cv.cvc,15
বাসায়,b a . ʃ a ʲ,cv.cvc,cv.cvc,15
হাজার,h a . ɟ a r,cv.cvc,cv.cvc,15
এ,e,v,v,15
ঘুম,gʰ u m,cvc,cvc,14
যাবে,ɟ a . b e,cv.cv,cv.cv,14
হঠাৎ,h ɔ . tʰ a t̪,cv.cvc,cv.cvc,14
সারাদিন,ʃ a . r a . d̪ i n,cv.cv.cvc,cv.cv.cvc,14
মা,m a,cv,cv,14
করার,k ɔ . r a r,cv.cvc,cv.cvc,14
পাশের,p a . ʃ e r,cv.cvc,cv.cvc,14
বেশ,b e ʃ,cvc,cvc,14
বউ,b o u̯,cvv,cv,14
তোমরা,t̪ o m . r a,cvc.cv,cvc.cv,14
যেতে,ɟ e . t̪ e,cv.cv,cv.cv,13
যখন,ɟ ɔ . kʰ o n,cv.cvc,cv.cvc,13
আরও,a . r o,v.cv,v.cv,13
একটু,e k . t u,vc.cv,vc.cv,13
