word,ipa,freq
করে,k o . r e,127
আমার,a . m a r,123
তার,t̪ a r,122
এই,e i̯,106
সে,ʃ e,91
আমি,a . m i,84
আর,a r,77
থেকে,t̪ʰ e . k e,72
কী,k i,67
হয়,h ɔ ʲ,65
হয়ে,h o . ʲ e,59
তো,t̪ o,59
জন্য,ɟ o n . n o,56
একটা,æ k . t a,55
কোনো,k o . n o,55
নিয়ে,n i . ʲ e,54
কথা,k ɔ . t̪ʰ a,50
তাদের,t̪ a . d̪ e r,47
দিয়ে,d̪ i . ʲ e,46
ও,o,45
যে,ɟ e,43
হলো,h o . l o,43
করুন,k o . r u n,43
তাকে,t̪ a . k e,40
বড়,b ɔ . ɽ o,39
হবে,h ɔ . b e,39
গেল,g æ . l o,37
এখন,æ . kʰ o n,37
তিনি,t̪ i . n i,37
নেই,n e i̯,36
সাথে,ʃ a . t̪ʰ e,36
কিন্তু,k i n . t̪ u,35
করতে,k o r . t̪ e,34
অনেক,ɔ . n e k,34
যায়,ɟ a ʲ,33
আজ,a ɟ,32
আছে,a . cʰ e,32
তারা,t̪ a . r a,32
কিছু,k i . cʰ u,32
আমাকে,a . m a . k e,30
বলে,b o . l e,30
খুব,kʰ u b,29
ছিল,cʰ i . l o,29
মনে,m o . n e,29
গিয়ে,g i . ʲ e,28
যেন,ɟ e . n o,28
পর,p ɔ r,27
এমন,æ . m o n,27
তুমি,t̪ u . m i,27
আমাদের,a . m a . d̪ e r,27
মতো,m ɔ . t̪ o,27
সব,ʃ ɔ b,26
এত,æ . t̪ o,26
এক,æ k,25
দুই,d̪ u i̯,25
আবার,a . b a r,24
দিন,d̪ i n,24
কাছে,k a . cʰ e,23
তখন,t̪ ɔ . kʰ o n,23
শুরু,ʃ u . r u,23
ছোট,cʰ o . t o,23
বা,b a,23
থাকে,t̪ʰ a . k e,22
চলে,c ɔ . l e,22
কি,k i,22
তোমার,t̪ o . m a r,22
মধ্যে,m o d̪ . d̪ʰ e,22
হয়েছে,h e . ʲ e . cʰ e,22
বসে,b ɔ . ʃ e,22
বাড়ি,b a . ɽ i,22
এসে,e . ʃ e,21
এসব,e . ʃ ɔ b,21
সময়,ʃ o . m ɔ ʲ,21
কাজ,k a ɟ,21
ভালো,bʰ a . l o,21
নয়,n ɔ ʲ,21
বের,b e r,21
বাড়ির,b a . ɽ i r,21
পারে,p a . r e,20
পড়ে,p ɔ . ɽ e,20
বাবা,b a . b a,20
বলতে,b o l . t̪ e,20
মানুষ,m a . n u ʃ,20
আপনার,a p . n a r,20
বাইরে,b a i̯ . r e,20
গেছে,g æ . cʰ e,19
তাই,t̪ a i̯,19
করা,k ɔ . r a,19
শেষ,ʃ e ʃ,19
যদি,ɟ o . d̪ i,19
তা,t̪ a,18
উপর,u . p o r,18
শুধু,ʃ u . d̪ʰ u,18
বাবার,b a . b a r,18
এর,e r,18
যাওয়ার,ɟ a o̯ . ʷ a r,18
আগে,a . g e,17
দেখি,d̪ e . kʰ i,17
এবং,e . b o ŋ,17
নাকি,n a . k i,17
সেই,ʃ e i̯,17
হতে,h o . t̪ e,17
যা,ɟ a,17
গাড়ি,g a . ɽ i,17
অন্য,o n . n o,16
দিতে,d̪ i . t̪ e,16
ওকে,o . k e,16
ভয়,bʰ ɔ ʲ,16
ধরে,d̪ʰ ɔ . r e,16
কেউ,k e u̯,16
দেখে,d̪ e . kʰ e,15
উঠে,u . tʰ e,15
করলাম,k o r . l a m,15
নিজের,n i . ɟ e r,15
বাসায়,b a . ʃ a ʲ,15
হাজার,h a . ɟ a r,15
এ,e,15
ঘুম,gʰ u m,14
যাবে,ɟ a . b e,14
হঠাৎ,h ɔ . tʰ a t̪,14
সারাদিন,ʃ a . r a . d̪ i n,14
মা,m a,14
করার,k ɔ . r a r,14
পাশের,p a . ʃ e r,14
বেশ,b e ʃ,14
বউ,b o u̯,14
তোমরা,t̪ o m . r a,14
যেতে,ɟ e . t̪ e,13
যখন,ɟ ɔ . kʰ o n,13
আরও,a . r o,13
একটু,e k . t u,13
থাকবে,t̪ʰ a k . b e,13
কয়েক,k ɔ ʲ . e k,13
এবার,e . b a r,13
দেখতে,d̪ e kʰ . t̪ e,12
ভাবতে,bʰ a b . t̪ e,12
শুনে,ʃ u . n e,12
করবেন,k o r . b e n,12
দেওয়া,d̪ e o̯ . ʷ a,12
তাহলে,t̪ a . h o . l e,12
আপনি,a p . n i,12
মনের,m o . n e r,12
কত,k ɔ . t̪ o,12
আজকে,a ɟ . k e,12
বিভিন্ন,b i . bʰ i n . n o,12
বলল,b o l . l o,11
নিতে,n i . t̪ e,11
ওর,o r,11
কোথাও,k o . t̪ʰ a . o,11
ঘরে,gʰ ɔ . r e,11
দিকে,d̪ i . k e,11
পাওয়া,p a o̯ . ʷ a,11
সবাই,ʃ ɔ . b a i̯,11
থাকতে,t̪ʰ a k . t̪ e,11
করল,k o r . l o,11
নতুন,n o . t̪ u n,11
মাথা,m a . t̪ʰ a,10
যাচ্ছে,ɟ a c . cʰ e,10
উঠল,u tʰ . l o,10
সুন্দর,ʃ u n . d̪ ɔ r,10
হাত,h a t̪,10
মাঝে,m a . ɟʰ e,10
খারাপ,kʰ a . r a p,10
পরে,p ɔ . r e,10
